UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4544,1,0000,049,5000,50,100.00000000
4544,1,0000,050,5000,56,100.00000000
4544,1,8684,00,4000,37,190.00000000
4544,1,8684,00,4000,40,190.00000000
4544,1,8684,00,4000,69,190.00000000
4544,1,8684,00,4000,75,190.00000000
4544,1,8684,00,4000,131,100.00000000
4544,1,8684,00,4000,165,190.00000000
4544,1,8684,00,4000,174,130.00000000
4544,1,8684,00,4000,218,100.00000000
4544,1,8684,00,4000,244,100.00000000
4544,1,8684,00,4000,247,100.00000000
4544,1,8684,00,4000,253,100.00000000
4544,1,8684,00,4000,254,380.00000000
4544,1,8684,00,4000,307,500.00000000
4544,1,8684,00,4000,310,170.00000000
4544,1,8686,00,4000,13,100.00000000
4544,1,8686,00,4000,24,170.00000000
4544,1,8686,00,4000,51,100.00000000
4544,1,8686,00,4000,74,100.00000000
4544,1,8686,00,4000,88,190.00000000
4544,1,8688,00,4000,75,150.00000000
4544,1,8688,00,4000,81,150.00000000
4544,1,8688,00,4000,84,150.00000000
4545,1,0000,009,5000,15,100.00000000
4545,1,0000,022,5000,3,100.00000000
4545,1,0000,023,5000,22,250.00000000
4545,1,0000,023,5000,115,250.00000000
4545,1,0000,037,5000,5,180.00000000
4545,1,0000,039,5000,121,130.00000000
4545,1,0000,039,5000,128,100.00000000
4545,1,0000,095,5000,1,100.00000000
4545,1,0000,096,5000,5,100.00000000
4545,1,0000,108,5000,213,100.00000000
4545,1,0000,108,5000,216,1200.00000000
4545,1,0000,109,5000,79,100.00000000
4545,1,0000,109,5000,262,100.00000000
4545,1,0000,110,5000,4,530.00000000
4545,1,0000,135,5000,24,100.00000000
4545,1,0000,135,5000,50,100.00000000
4545,1,0000,135,5000,53,100.00000000
4545,1,8220,00,4000,14,200.00000000
4545,1,8220,00,4000,17,200.00000000
4545,1,8244,02,2000,13,200.00000000
4545,1,8420,00,4000,3,130.00000000
4545,1,8420,00,4000,12,100.00000000
4545,1,8420,00,4000,18,100.00000000
4545,1,8420,00,4000,29,130.00000000
4545,1,8422,00,4000,6,100.00000000
4545,1,8422,00,4000,84,130.00000000
4545,1,8422,00,4000,157,100.00000000
4545,1,8422,00,4000,160,100.00000000
4545,1,8422,00,4000,204,250.00000000
4545,1,8422,00,4000,218,150.00000000
4545,1,8422,00,4000,224,100.00000000
4545,1,8422,11,1000,15,250.00000000
4545,1,8422,12,1000,19,250.00000000
4545,1,8422,12,1000,51,250.00000000
4545,1,8422,12,1000,54,250.00000000
4545,1,8422,12,1000,65,220.00000000
4545,1,8424,00,4000,16,200.00000000
4545,1,8424,14,1000,44,200.00000000
