UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4627,1,0000,024,5000,1,350.00000000
4627,1,0000,034,5000,79,380.00000000
4627,1,0000,037,5000,14,350.00000000
4627,1,0000,049,5000,31,130.00000000
4627,1,0000,049,5000,33,750.00000000
4627,1,0000,050,5000,23,130.00000000
4627,1,0000,050,5000,49,130.00000000
4627,1,0000,050,5000,52,130.00000000
4627,1,0000,060,5000,9,310.00000000
4627,1,0000,061,5000,18,170.00000000
4627,1,0000,061,5000,88,170.00000000
4627,1,0000,062,5000,48,170.00000000
4627,1,0000,072,5000,23,130.00000000
4627,1,0000,072,5000,26,130.00000000
4627,1,0000,072,5000,29,130.00000000
4627,1,0000,073,5000,7,130.00000000
4627,1,0000,073,5000,29,750.00000000
4627,1,0000,073,5000,30,130.00000000
4627,1,0000,073,5000,39,130.00000000
4627,1,0000,073,5000,50,170.00000000
4627,1,0000,073,5000,88,560.00000000
4627,1,0000,073,5000,97,130.00000000
4627,1,0000,073,5000,120,130.00000000
4627,1,0000,073,5000,134,170.00000000
4627,1,0000,073,5000,149,130.00000000
4627,1,0000,073,5000,151,750.00000000
4627,1,0000,073,5000,152,560.00000000
4627,1,0000,073,5000,158,130.00000000
4627,1,0000,073,5000,210,130.00000000
4627,1,0000,073,5000,213,130.00000000
4627,1,0000,074,5000,3,170.00000000
4627,1,0000,085,5000,28,720.00000000
4627,1,0000,085,5000,46,130.00000000
4627,1,0000,086,5000,3,290.00000000
4627,1,0000,086,5000,6,180.00000000
4627,1,0000,086,5000,15,170.00000000
4627,1,0000,086,5000,62,130.00000000
4627,1,0000,086,5000,83,240.00000000
4627,1,0000,086,5000,106,750.00000000
4627,1,0000,086,5000,175,130.00000000
4627,1,0000,097,5000,52,130.00000000
4627,1,0000,097,5000,81,130.00000000
4627,1,0000,097,5000,90,250.00000000
4627,1,0000,097,5000,97,380.00000000
4627,1,0000,097,5000,100,380.00000000
4627,1,0000,097,5000,103,380.00000000
4627,1,0000,097,5000,139,130.00000000
4627,1,0000,098,5000,1,130.00000000
4627,1,0000,098,5000,30,130.00000000
4627,1,0000,098,5000,40,860.00000000
4627,1,0000,098,5000,107,1150.00000000
4627,1,0000,098,5000,130,1150.00000000
4627,1,0000,098,5000,310,1150.00000000
4627,1,0000,098,5000,361,130.00000000
4627,1,0000,098,5000,364,130.00000000
4627,1,0000,098,5000,416,130.00000000
4627,1,0000,098,5000,419,130.00000000
4627,1,0000,098,5000,429,1150.00000000
4627,1,0000,098,5000,538,130.00000000
4627,1,0000,098,5000,605,130.00000000
4627,1,0000,098,5000,613,170.00000000
4627,1,0000,098,5000,689,130.00000000
4627,1,0000,110,5000,38,130.00000000
4627,1,0000,110,5000,44,130.00000000
4627,1,0000,111,5000,24,130.00000000
4627,1,0000,111,5000,81,330.00000000
4627,1,0000,111,5000,91,130.00000000
4627,1,0000,111,5000,218,170.00000000
4627,1,0000,111,5000,221,170.00000000
4627,1,0000,111,5000,337,170.00000000
4627,1,0000,111,5000,354,380.00000000
4627,1,0000,111,5000,384,130.00000000
4627,1,0000,111,5000,387,130.00000000
4627,1,0000,112,5000,4,170.00000000
4627,1,0000,122,5000,31,640.00000000
4627,1,0000,124,5000,23,170.00000000
4627,1,0000,124,5000,26,170.00000000
4627,1,0000,124,5000,29,170.00000000
4627,1,3432,04,2000,2,470.00000000
4627,1,3434,02,2000,6,170.00000000
4627,1,3434,02,2000,9,170.00000000
4627,1,3434,04,1000,2,380.00000000
4627,1,3434,04,1000,20,170.00000000
4627,1,3434,04,1000,29,170.00000000
4627,1,3434,16,1000,13,170.00000000
4627,1,3434,16,1000,42,170.00000000
4627,1,3434,16,1000,45,170.00000000
4627,1,3434,16,1000,48,170.00000000
4627,1,3434,16,1000,51,170.00000000
4627,1,3434,16,1000,71,170.00000000
4627,1,3438,00,4000,5,130.00000000
4627,1,0000,008,5000,29,130.00000000
4627,1,0000,008,5000,32,130.00000000
4627,1,0000,034,5000,19,130.00000000
4627,1,0000,034,5000,22,130.00000000
4627,1,0000,034,5000,50,380.00000000
4627,1,0000,034,5000,57,130.00000000
4627,1,0000,034,5000,73,380.00000000
4627,1,0000,034,5000,77,130.00000000
4627,1,0000,049,5000,16,470.00000000
4627,1,0000,049,5000,19,470.00000000
4627,1,0000,049,5000,47,310.00000000
4627,1,0000,049,5000,59,750.00000000
4627,1,0000,049,5000,60,560.00000000
4627,1,0000,050,5000,32,350.00000000
4627,1,0000,050,5000,46,130.00000000
4627,1,0000,060,5000,88,750.00000000
4627,1,0000,060,5000,99,310.00000000
4627,1,0000,061,5000,10,130.00000000
4627,1,0000,061,5000,108,170.00000000
4627,1,0000,061,5000,169,170.00000000
4627,1,0000,062,5000,40,130.00000000
4627,1,0000,071,5000,4,170.00000000
4627,1,0000,073,5000,4,130.00000000
4627,1,0000,073,5000,19,240.00000000
4627,1,0000,073,5000,27,560.00000000
4627,1,0000,073,5000,68,130.00000000
4627,1,0000,073,5000,123,130.00000000
4627,1,0000,073,5000,224,170.00000000
4627,1,0000,085,5000,49,130.00000000
4627,1,0000,085,5000,53,620.00000000
4627,1,0000,085,5000,139,1150.00000000
4627,1,0000,085,5000,200,130.00000000
4627,1,0000,085,5000,203,130.00000000
4627,1,0000,085,5000,232,130.00000000
4627,1,0000,086,5000,51,330.00000000
4627,1,0000,086,5000,53,130.00000000
4627,1,0000,086,5000,56,130.00000000
4627,1,0000,086,5000,59,130.00000000
4627,1,0000,086,5000,73,170.00000000
4627,1,0000,086,5000,123,130.00000000
4627,1,0000,086,5000,146,560.00000000
4627,1,0000,097,5000,49,130.00000000
4627,1,0000,097,5000,57,170.00000000
4627,1,0000,097,5000,106,380.00000000
4627,1,0000,098,5000,104,1150.00000000
4627,1,0000,098,5000,117,130.00000000
4627,1,0000,098,5000,387,130.00000000
4627,1,0000,098,5000,454,130.00000000
4627,1,0000,098,5000,599,130.00000000
4627,1,0000,098,5000,602,130.00000000
4627,1,0000,098,5000,608,130.00000000
4627,1,0000,098,5000,663,130.00000000
4627,1,0000,110,5000,9,130.00000000
4627,1,0000,110,5000,15,130.00000000
4627,1,0000,110,5000,18,130.00000000
4627,1,0000,111,5000,207,130.00000000
4627,1,0000,111,5000,210,130.00000000
4627,1,0000,111,5000,213,130.00000000
4627,1,0000,111,5000,239,130.00000000
4627,1,0000,111,5000,242,130.00000000
4627,1,0000,111,5000,271,130.00000000
4627,1,0000,111,5000,340,170.00000000
4627,1,0000,111,5000,445,130.00000000
4627,1,0000,122,5000,4,350.00000000
4627,1,0000,122,5000,20,130.00000000
4627,1,0000,122,5000,23,130.00000000
4627,1,0000,122,5000,28,640.00000000
4627,1,0000,124,5000,12,130.00000000
4627,1,3434,02,2000,3,170.00000000
4627,1,3434,04,2000,3,330.00000000
4627,1,3434,16,1000,10,170.00000000
4627,1,3434,16,1000,74,170.00000000
4627,1,3436,00,4000,2,850.00000000
4627,1,3436,00,4000,3,130.00000000
4627,1,3436,04,2000,17,380.00000000
4627,1,3436,04,2000,21,130.00000000
4627,1,3632,00,4000,113,1150.00000000
4627,1,3632,01,1000,4,170.00000000
4627,1,3632,03,1000,26,170.00000000
4627,1,3632,03,2000,11,1150.00000000
4627,1,3632,03,2000,54,170.00000000
4627,1,3632,03,2000,57,170.00000000
4627,1,3632,03,2000,60,170.00000000
4627,1,3632,03,2000,118,170.00000000
4627,1,3632,04,1000,7,1150.00000000
4627,1,3632,04,1000,13,1150.00000000
4627,1,3632,04,2000,28,380.00000000
4627,1,3632,04,2000,49,170.00000000
4627,1,3632,04,2000,57,380.00000000
4627,1,3632,04,2000,107,170.00000000
4627,1,3632,07,1000,8,1150.00000000
4627,1,3632,10,1000,3,170.00000000
4627,1,0000,012,5000,2,560.00000000
4627,1,0000,034,5000,2,240.00000000
4627,1,0000,034,5000,7,130.00000000
4627,1,0000,049,5000,65,85.00000000
4627,1,0000,050,5000,1,310.00000000
4627,1,0000,050,5000,43,130.00000000
4627,1,0000,060,5000,32,130.00000000
4627,1,0000,060,5000,52,310.00000000
4627,1,0000,061,5000,38,170.00000000
4627,1,0000,061,5000,62,130.00000000
4627,1,0000,061,5000,94,130.00000000
4627,1,0000,061,5000,105,170.00000000
4627,1,0000,061,5000,114,130.00000000
4627,1,0000,061,5000,117,130.00000000
4627,1,0000,062,5000,13,170.00000000
4627,1,0000,062,5000,39,230.00000000
4627,1,0000,071,5000,2,130.00000000
4627,1,0000,073,5000,62,170.00000000
4627,1,0000,073,5000,103,130.00000000
4627,1,0000,073,5000,109,130.00000000
4627,1,0000,073,5000,135,130.00000000
4627,1,0000,073,5000,156,260.00000000
4627,1,0000,073,5000,170,130.00000000
4627,1,0000,073,5000,184,170.00000000
4627,1,0000,073,5000,199,130.00000000
4627,1,0000,085,5000,5,130.00000000
4627,1,0000,085,5000,34,130.00000000
4627,1,0000,085,5000,45,170.00000000
4627,1,0000,085,5000,153,130.00000000
4627,1,0000,085,5000,160,750.00000000
4627,1,0000,085,5000,166,750.00000000
4627,1,0000,086,5000,8,330.00000000
4627,1,0000,086,5000,95,310.00000000
4627,1,0000,086,5000,109,750.00000000
4627,1,0000,086,5000,121,330.00000000
4627,1,0000,086,5000,150,330.00000000
4627,1,0000,086,5000,172,130.00000000
4627,1,0000,087,5000,7,170.00000000
4627,1,0000,097,5000,118,380.00000000
4627,1,0000,098,5000,32,380.00000000
4627,1,0000,098,5000,45,130.00000000
4627,1,0000,098,5000,164,130.00000000
4627,1,0000,098,5000,190,130.00000000
4627,1,0000,098,5000,307,1150.00000000
4627,1,0000,098,5000,370,130.00000000
4627,1,0000,098,5000,452,1150.00000000
4627,1,0000,098,5000,489,130.00000000
4627,1,0000,098,5000,585,130.00000000
4627,1,0000,098,5000,617,130.00000000
4627,1,0000,098,5000,625,170.00000000
4627,1,0000,109,5000,6,460.00000000
4627,1,0000,110,5000,3,130.00000000
4627,1,0000,110,5000,26,130.00000000
4627,1,0000,110,5000,32,130.00000000
4627,1,0000,110,5000,49,170.00000000
4627,1,0000,111,5000,105,130.00000000
4627,1,0000,111,5000,200,620.00000000
4627,1,0000,111,5000,224,130.00000000
4627,1,0000,111,5000,230,130.00000000
4627,1,0000,111,5000,256,130.00000000
4627,1,0000,111,5000,350,250.00000000
4627,1,0000,122,5000,24,530.00000000
4627,1,0000,122,5000,27,530.00000000
4627,1,0000,123,5000,7,130.00000000
4627,1,0000,125,5000,1,170.00000000
4627,1,3432,04,1000,1,170.00000000
4627,1,3434,04,2000,7,170.00000000
4627,1,3434,04,2000,10,170.00000000
4627,1,3434,16,1000,16,130.00000000
4627,1,3434,16,1000,30,170.00000000
4627,1,3434,16,1000,33,170.00000000
4627,1,3434,16,1000,36,170.00000000
4627,1,3434,16,1000,65,170.00000000
4627,1,3436,04,2000,8,380.00000000
4627,1,3436,04,2000,15,130.00000000
4627,1,3632,00,4000,3,1150.00000000
4627,1,3632,00,4000,13,470.00000000
4627,1,3632,00,4000,61,1150.00000000
4627,1,3632,00,4000,114,170.00000000
4627,1,3632,03,1000,37,470.00000000
4627,1,3632,03,2000,27,470.00000000
4627,1,3632,03,2000,39,170.00000000
4627,1,3632,03,2000,71,170.00000000
4627,1,3632,04,1000,5,750.00000000
4627,1,3632,04,2000,16,380.00000000
4627,1,3632,04,2000,55,130.00000000
4627,1,3632,04,2000,66,170.00000000
4627,1,3632,04,2000,124,170.00000000
4627,1,3632,04,2000,135,380.00000000
4627,1,3632,06,1000,13,170.00000000
4627,1,3632,37,500,12,380.00000000
4627,1,3632,37,500,27,170.00000000
4627,1,0000,034,5000,65,130.00000000
4627,1,0000,037,5000,22,130.00000000
4627,1,0000,046,5000,9,130.00000000
4627,1,0000,048,5000,32,130.00000000
